coordinate	CB45_CPT0H.sorted.dedup.bam	CB45_CPT2H.sorted.dedup.bam	CB45_CPT4H.sorted.dedup.bam	CEM_CPT0H.sorted.dedup.bam	CEM_CPT2H.sorted.dedup.bam	CEM_CPT4H.sorted.dedup.bam
chr1:10003-10455	24.962431	24.646793	19.649017	21.548672	18.039482	26.006865
chr1:28921-29638	5.289335	5.431990	4.538685	4.072525	9.655616	10.360630
chr1:236882-237230	0.975927	1.008268	1.120203	1.264368	2.155173	1.231527
chr1:386147-386419	1.526082	2.644479	1.059322	1.764706	1.767534	1.350540
chr1:442000-442221	1.451379	2.381519	0.613544	0.995475	2.436478	3.970819
chr1:540621-541276	1.987613	2.437391	1.500841	1.893130	2.818556	3.053435
chr1:564495-565377	792.816467	808.668457	743.399048	875.759583	820.185730	879.633423
chr1:565714-566748	776.869446	694.526428	634.232666	848.027039	805.348877	781.766846
chr1:567267-568169	617.412048	579.102966	518.997314	753.414612	641.011414	638.761902
chr1:569130-570274	523.156067	526.208435	483.939758	634.580383	532.040039	546.845947
chr1:698664-699045	2.426583	1.473500	1.334579	1.259842	3.078942	2.731801
chr1:713747-714570	5.341709	7.055914	4.530758	4.009720	10.585101	15.027153
chr1:762595-763444	4.222504	4.814746	3.194187	3.156655	8.199692	11.393957
chr1:777262-777835	3.194046	2.939286	2.218476	2.757417	4.396563	3.419168
chr1:805208-805368	4.009434	4.934211	4.343221	3.000000	7.812500	8.163265
chr1:825009-825157	4.716981	5.571361	3.550160	4.054054	4.677754	2.895753
chr1:833914-834356	1.237941	1.270144	0.958662	1.131222	2.088409	1.431342
chr1:839848-840235	2.925260	1.858652	2.102221	2.015504	2.981514	4.957022
chr1:859188-859364	1.500858	3.688198	3.177966	2.045455	6.883741	5.102041
chr1:875794-875930	1.387347	1.160991	0.997009	1.470588	2.121041	4.351740
chr1:894537-895133	3.545650	3.444013	3.469457	3.389262	5.356221	8.457746
chr1:895889-896223	2.768049	3.309171	2.232823	1.796407	6.563796	6.782354
chr1:934091-934437	1.963137	2.028192	2.106398	1.271676	3.445976	5.721364
chr1:935085-936038	2.712388	3.884317	2.312057	2.287513	3.975301	8.373129
chr1:948586-949312	2.546910	3.189793	2.638091	1.900826	4.714982	6.915163
chr1:949753-949905	6.827210	3.347184	3.345228	2.894737	6.958502	9.264232
chr1:954738-955711	5.371444	5.282992	4.215514	4.604317	8.320816	12.710532
chr1:968275-968847	5.409684	6.042203	5.066967	3.601398	9.682625	16.447836
chr1:976031-976605	3.221353	4.034477	2.923286	2.891986	6.231574	10.772950
chr1:994654-995205	4.451598	4.457605	3.875850	3.629764	7.992461	11.518945
chr1:1004688-1004859	3.641179	4.924592	3.171771	1.754386	4.948268	7.876835
chr1:1014492-1014740	5.097383	2.617431	3.485511	5.806452	3.722084	1.974984
chr1:1051267-1051959	8.370597	8.239530	7.396884	7.167630	17.646732	23.652237
chr1:1072371-1073095	1.589701	1.841621	2.130349	1.712707	3.346792	4.481904
chr1:1079546-1080125	3.454232	3.514832	2.107667	3.143351	3.852797	4.546896
chr1:1092880-1093281	3.340705	3.325021	1.944292	2.044888	3.356992	2.646445
chr1:1166990-1167785	6.977572	6.730663	5.820275	4.955975	9.796807	18.996277
